%SECTION%1%;Nodes;
%FIELDS%;node_id;x;y;lat;lon;name;specification;
%DESRIPTION%;ID;x-coordination;y-coordination;latitude;longitude;name;{'', gate, runway, holding_point, intermediate};
;N0;25.2803767;51.556605;25.2803767;51.556605;N0;runway;
;N1;25.2418524;51.573557;25.2418524;51.573557;N1;runway;
;N2;25.2485133;51.568664;25.2485133;51.568664;N2;;
;N3;25.2420698;51.571514;25.2420698;51.571514;N3;;
;N4;25.2417437;51.571909;25.2417437;51.571909;N4;;
;N5;25.241604;51.572398;25.241604;51.572398;N5;;
;N6;25.2416972;51.572939;25.2416972;51.572939;N6;;
;N7;25.2418524;51.573213;25.2418524;51.573213;N7;;
;N8;25.2422095;51.573368;25.2422095;51.573368;N8;runway;
;N11;25.2725377;51.558262;25.2725377;51.558262;N11;;
;N12;25.2735079;51.559566;25.2735079;51.559566;N12;runway;
;N13;25.2728739;51.558398;25.2728739;51.558398;N13;;
;N15;25.2514111;51.569357;25.2514111;51.569357;N15;runway;
;N15a;25.2514111;51.569357;25.2514111;51.569357;N15a;runway;
;N16;25.2507358;51.567675;25.2507358;51.567675;N16;;
;N18;25.2476594;51.570982;25.2476594;51.570982;N18;runway;
;N19;25.2470539;51.569282;25.2470539;51.569282;N19;;
;N22;25.2456798;51.571866;25.2456798;51.571866;N22;runway;
;N23;25.2450587;51.570184;25.2450587;51.570184;N23;;
;N34;25.263402;51.562081;25.263402;51.562081;N34;;
;N35;25.2631071;51.56263;25.2631071;51.56263;N35;;
;N36;25.2624473;51.563686;25.2624473;51.563686;N36;;
;N37;25.2616323;51.564587;25.2616323;51.564587;N37;;
;N38;25.2610113;51.56512;25.2610113;51.56512;N38;runway;
;N39;25.2742547;51.559244;25.2742547;51.559244;N39;runway;
;N41;25.2667355;51.560589;25.2667355;51.560589;N41;;
;N42;25.2673734;51.562292;25.2673734;51.562292;N42;runway;
;N42a;25.2673734;51.562292;25.2673734;51.562292;N42a;runway;
;N43;25.2623233;51.564537;25.2623233;51.564537;N43;runway;
;N45;25.2625434;51.565053;25.2625434;51.565053;N45;;
;N46;25.2662841;51.565401;25.2662841;51.565401;N46;;
;N47;25.2601159;51.566113;25.2601159;51.566113;N47;;
;N48;25.2597744;51.56625;25.2597744;51.56625;N48;;
;N49;25.259495;51.566001;25.259495;51.566001;N49;;
;N50;25.2594173;51.565821;25.2594173;51.565821;N50;runway;
;N62;25.2582653;51.568341;25.2582653;51.568341;N62;;
;N63;25.2710077;51.563642;25.2710077;51.563642;N63;;
;N64;25.2705551;51.563558;25.2705551;51.563558;N64;;
;N65;25.2667695;51.565191;25.2667695;51.565191;N65;;
;N66;25.2653901;51.573104;25.2653901;51.573104;N66;;
;N67;25.2689217;51.571184;25.2689217;51.571184;N67;;
;N68;25.2687408;51.571637;25.2687408;51.571637;N68;;
;N69;25.2688766;51.571444;25.2688766;51.571444;N69;;
;N70;25.2711047;51.563803;25.2711047;51.563803;N70;;
;N71;25.2631405;51.5668;25.2631405;51.5668;N71;;
;N72;25.2707942;51.563534;25.2707942;51.563534;N72;;
;N73;25.2718518;51.56612;25.2718518;51.56612;N73;;
;N74;25.2629271;51.566205;25.2629271;51.566205;N74;;
;N76;25.2682115;51.564534;25.2682115;51.564534;N76;;
;N77;25.2520391;51.571045;25.2520391;51.571045;N77;;
;N78;25.2716514;51.56639;25.2716514;51.56639;N78;;
;N79;25.2717776;51.566283;25.2717776;51.566283;N79;;
;N80;25.2718324;51.565938;25.2718324;51.565938;N80;;
;N81;25.2678191;51.568064;25.2678191;51.568064;N81;;
;N82;25.273162;51.558669;25.273162;51.558669;N82;;
;E10;25.2707605;51.565508;25.2707605;51.565508;E10;gate;
;N84;25.2711479;51.56661;25.2711479;51.56661;N84;;
;N85;25.2705254;51.566882;25.2705254;51.566882;N85;;
;N86;25.2698884;51.56716;25.2698884;51.56716;N86;;
;N87;25.269266;51.567432;25.269266;51.567432;N87;;
;N88;25.2686319;51.567709;25.2686319;51.567709;N88;;
;N89;25.2715674;51.56516;25.2715674;51.56516;N89;;
;N90;25.2673963;51.566907;25.2673963;51.566907;N90;;
;E6;25.2682074;51.566567;25.2682074;51.566567;E6;gate;
;E7;25.2688352;51.566304;25.2688352;51.566304;E7;gate;
;E8;25.2694926;51.566029;25.2694926;51.566029;E8;gate;
;E9;25.2701294;51.565762;25.2701294;51.565762;E9;gate;
;N91;25.2713657;51.564568;25.2713657;51.564568;N91;;
;N92;25.2672259;51.56644;25.2672259;51.56644;N92;;
;E1;25.2705231;51.564949;25.2705231;51.564949;E1;gate;
;N93;25.2701023;51.563747;25.2701023;51.563747;N93;;
;E2;25.2699196;51.565222;25.2699196;51.565222;E2;gate;
;N94;25.2694784;51.564006;25.2694784;51.564006;N94;;
;E3;25.2692838;51.56551;25.2692838;51.56551;E3;gate;
;E4;25.268648;51.565797;25.268648;51.565797;E4;gate;
