%SECTION%1%;Nodes;
%FIELDS%;node_id;x;y;lat;lon;name;specification;
%DESRIPTION%;ID;x-coordination;y-coordination;latitude;longitude;name;{'', gate, runway, holding_point, intermediate};
;1;801716.0596537133;2470893.4855102254;22.3174377;113.9286655;;intermediate;
;2;801330.6561199271;2470744.9648822583;22.3161652;113.9249003;;intermediate;
;3;802299.9937482106;2470153.847495271;22.310662;113.9341883;;intermediate;
;10;798639.4795847886;2468405.7107606977;22.295528;113.8983679;;intermediate;
;11;799110.9930436951;2468463.3085652483;22.2959659;113.9029503;;intermediate;
;12;799138.92696493;2468472.745895642;22.2960462;113.9032229;;intermediate;
;13;799206.3235254559;2468502.9813083345;22.2963073;113.903882;;intermediate;
;14;799463.9946290719;2468527.571005325;22.2964844;113.9063849;;intermediate;
;15;799358.1030860718;2468560.222446875;22.2967974;113.9053643;;intermediate;
;17;799373.7543908211;2468563.1616608147;22.2968212;113.9055166;;intermediate;
;19;799445.4327664736;2468575.0712739006;22.2969162;113.9062138;;intermediate;
;22;798580.7958907979;2468566.7204143545;22.2969909;113.8978289;;intermediate;
;24;799423.8218136118;2468583.288941058;22.2969941;113.9060058;;intermediate;
;25;799432.748023947;2468584.6467788843;22.2970048;113.9060926;;intermediate;
;27;799448.5484529997;2468590.0161937885;22.2970505;113.9062468;;intermediate;
;28;799460.2214622892;2468597.0905368584;22.2971123;113.9063613;;intermediate;
;32;799313.5755483524;2468635.9064669902;22.297488;113.9049467;;intermediate;
;33;799598.542377043;2468646.183680402;22.2975312;113.9077116;;intermediate;
;34;799624.2308286547;2468659.7238613707;22.2976489;113.9079632;;intermediate;
;36;799647.3944609972;2468675.831093977;22.2977902;113.9081908;;intermediate;
;37;799684.8396427805;2468676.575070645;22.2977904;113.908554;;intermediate;
;39;798573.7823690039;2468674.6695051203;22.2979661;113.897781;;intermediate;
;40;799673.4869346226;2468699.974838369;22.2980035;113.9084483;;intermediate;
;41;798586.5899856335;2468683.3609299245;22.2980423;113.8979068;;intermediate;
;42;799366.6013067339;2468702.7069883994;22.2980815;113.9054733;;intermediate;
;43;799072.5288782329;2468699.4074335746;22.2981028;113.9026214;;intermediate;
;44;798654.3969343362;2468708.3262005053;22.2982558;113.8985689;;intermediate;
;45;799399.3700842954;2468733.1189556485;22.2983502;113.9057967;;intermediate;
;46;798691.0602068517;2468721.8317694264;22.2983713;113.8989269;;intermediate;
;47;798757.4537017797;2468746.2716282913;22.2985803;113.8995752;;intermediate;
;48;799432.1799221105;2468761.3927187966;22.2985996;113.9061201;;intermediate;
;49;798848.118277701;2468779.657086857;22.2988658;113.9004605;;intermediate;
;50;799753.7231473493;2468799.1661506454;22.2988845;113.9092448;;intermediate;
;51;799494.6693816086;2468803.7378599024;22.2989708;113.9067339;;intermediate;
;52;799032.7773528763;2468806.239293245;22.2990736;113.9022559;;intermediate;
;53;798940.8922748598;2468813.81518832;22.2991579;113.9013664;;intermediate;
;54;799033.3155797953;2468823.295746913;22.2992274;113.9022643;;intermediate;
;55;798974.4624619884;2468826.1758460533;22.2992636;113.9016942;;intermediate;
;56;798662.0990734391;2468816.3363997173;22.299229;113.8986637;;intermediate;
;58;799801.7012246923;2468857.514298406;22.2994026;113.9097209;;intermediate;
;60;798728.8129611573;2468840.183847242;22.2994326;113.899315;;intermediate;
;61;799827.127116817;2468884.1060293135;22.2996381;113.9099724;;intermediate;
;62;798814.641819769;2468871.326094095;22.2996987;113.900153;;intermediate;
;63;799688.0482833388;2468915.117413151;22.2999421;113.9086297;;intermediate;
;64;799667.6545164239;2468914.7796531417;22.2999426;113.9084319;;intermediate;
;65;799865.672249919;2468919.2301737387;22.2999483;113.9103527;;intermediate;
;68;799736.4873340788;2468919.598064361;22.2999741;113.9091002;;intermediate;
;69;799606.5261342255;2468920.118310975;22.3000014;113.9078402;;intermediate;
;70;799760.1092395277;2468923.1458428125;22.300002;113.9093299;;intermediate;
;71;799783.5407553557;2468928.0089067994;22.3000418;113.909558;;intermediate;
;72;798944.4588472676;2468916.8807185376;22.3000872;113.9014202;;intermediate;
;73;799523.4746756915;2468934.9099963433;22.3001493;113.9070377;;intermediate;
;74;799837.5325332268;2468942.439003952;22.3001626;113.9100842;;intermediate;
;75;799511.7999884756;2468940.2488704547;22.3001995;113.9069255;;intermediate;
;77;799920.2278017574;2468956.8246122994;22.300278;113.9108887;;intermediate;
;80;799031.3182956686;2468951.7791644186;22.300387;113.9022689;;intermediate;
;82;799367.8945874592;2468960.0866313544;22.3004035;113.9055339;;intermediate;
;84;799354.5802703275;2468961.670038324;22.3004201;113.9054051;;intermediate;
;86;799963.5850673476;2468982.532366434;22.3005024;113.9113139;;intermediate;
;91;800024.0356715189;2469008.0381900314;22.300722;113.9119048;07R/25L;runway;
;94;800419.0947861427;2469037.5252828295;22.3009192;113.9157408;;intermediate;
;95;799199.2582083927;2469014.738855977;22.3009259;113.903909;;intermediate;
;97;799519.689932253;2469026.950694042;22.3009804;113.9070182;;intermediate;
;99;800084.7196172145;2469055.637983526;22.3011409;113.9125021;;intermediate;
;100;800036.6761083552;2469055.7966723926;22.3011507;113.9120363;;intermediate;
;101;799990.5369327528;2469058.8185267258;22.301186;113.9115895;;intermediate;
;102;800164.1875535646;2469067.812509214;22.3012369;113.9132749;;intermediate;
;104;799898.9615462152;2469072.8008148787;22.3013281;113.9107042;;intermediate;
;106;800396.0043192756;2469096.67457777;22.3014569;113.915528;;intermediate;
;108;799733.6990712904;2469100.557725548;22.3016073;113.909107;;intermediate;
;109;799724.673278867;2469101.170589244;22.3016144;113.9090196;;intermediate;
;110;800331.391902118;2469121.128396429;22.3016888;113.9149061;07R/25L;runway;
;111;799479.7298660044;2469118.770902147;22.3018158;113.9066479;;intermediate;
;112;799493.7100201033;2469129.192619955;22.3019074;113.9067854;;intermediate;
;113;800428.9959334572;2469157.0408324106;22.3019958;113.9158592;07R/25L,07R/25L;runway;
;116;799509.6330313407;2469183.82998662;22.3023976;113.90695;;intermediate;
;117;799132.4660163426;2469207.7657688465;22.3026791;113.9032974;;intermediate;
;118;799473.7906636375;2469281.415274037;22.3032843;113.9066207;;intermediate;
;119;800271.4475282503;2469303.8107894394;22.3033475;113.9143591;;intermediate;
;120;801445.2326520646;2469328.761377737;22.3033676;113.9257449;;intermediate;
;121;799413.7854241633;2469311.514128934;22.3035663;113.9060445;;intermediate;
;122;800354.5184299208;2469334.410240048;22.3036091;113.9151703;;intermediate;
;124;800855.606280843;2469355.684761662;22.3037136;113.9200329;;intermediate;
;126;800299.2696627092;2469360.5634560287;22.3038547;113.9146395;;intermediate;
;127;799442.8222043877;2469355.1544988165;22.303955;113.9063342;;intermediate;
;128;800295.357844637;2469374.0650556716;22.3039772;113.9146041;;intermediate;
;132;800242.3748199274;2469396.660114089;22.3041903;113.9140946;;intermediate;
;134;800937.1416474528;2469451.6835666928;22.3045655;113.9208415;;intermediate;
;135;801835.6513186237;2469476.357698898;22.3046309;113.9295582;;intermediate;
;136;801668.2960929435;2469504.4745515496;22.3049139;113.9279408;;intermediate;
;137;801392.5024742098;2469507.8348767166;22.3049925;113.9252673;;intermediate;
;138;798984.2519712718;2469464.606465288;22.3050222;113.9019082;;intermediate;
;139;801582.5124201943;2469519.1910118205;22.3050617;113.9271118;;intermediate;
;140;801447.4068764757;2469517.611475918;22.3050711;113.9258015;;intermediate;
;141;801543.3854324354;2469522.277717185;22.3050964;113.926733;;intermediate;
;142;798980.8127469127;2469473.440182089;22.3051025;113.9018765;;intermediate;
;143;801503.7011589718;2469522.726908064;22.3051074;113.9263483;;intermediate;
;144;798965.0186605607;2469517.1037462694;22.3054992;113.9017315;;intermediate;
;145;799213.9052267922;2469990.0091074123;22.3097228;113.9042331;;intermediate;
;146;801017.816665855;2469578.733302619;22.3056977;113.9216476;;intermediate;
;147;798954.0574794004;2469544.357270379;22.305747;113.9016303;;intermediate;
;148;798584.964338612;2469590.427360995;22.3062267;113.89806;;intermediate;
;149;798633.977162197;2469607.8611088;22.3063755;113.8985385;;intermediate;
;150;798660.201565278;2469618.1405563396;22.3064637;113.8987947;;intermediate;
;152;798731.3443207582;2469643.1708664414;22.3066772;113.8994892;;intermediate;
;153;801234.4823418338;2469697.169627837;22.3067284;113.9237707;;intermediate;
;154;798913.4188070521;2469657.74447484;22.3067771;113.9012574;;intermediate;
;155;798787.2776063613;2469663.786089391;22.3068535;113.9000354;;intermediate;
;157;798912.0290685061;2469672.624766638;22.3069116;113.9012467;;intermediate;
;162;798850.8610121512;2469687.186486138;22.3070536;113.9006563;;intermediate;
;164;798861.0021604524;2469689.68685551;22.3070744;113.9007551;;intermediate;
;171;798925.8592452086;2469713.3448343957;22.3072766;113.9013884;;intermediate;
;172;798938.9565383557;2469710.138815933;22.3072454;113.9015148;;intermediate;
;178;798882.2210423355;2469734.4613852454;22.3074747;113.9009692;;intermediate;
;180;799232.6390261606;2469827.999205979;22.3082578;113.9043845;;intermediate;
;181;798881.0001924306;2469745.388190973;22.3075735;113.9009594;;intermediate;
;182;798499.1294246807;2469828.7639393588;22.308392;113.8972721;;intermediate;
;184;798655.1915199994;2469835.874789289;22.3084291;113.8987867;;intermediate;
;187;798598.9683850087;2469852.3722533463;22.3085877;113.8982446;;intermediate;
;188;798838.2596213592;2469859.255960872;22.3086083;113.9005662;;intermediate;
;189;798591.9886860134;2469863.531963445;22.3086896;113.898179;;intermediate;
;190;798838.4379858762;2469874.1109949355;22.3087423;113.9005707;;intermediate;
;193;798781.3371459846;2469883.68604443;22.3088386;113.9000188;;intermediate;
;195;798795.9069255277;2469885.950135955;22.3088565;113.9001605;;intermediate;
;199;798527.5523349717;2469894.2135597095;22.3089776;113.8975599;;intermediate;
;203;798478.7111021874;2469904.934792435;22.3090828;113.8970883;;intermediate;
;205;798855.7218244907;2469914.886353867;22.3091072;113.9007459;;intermediate;
;207;798868.5399444803;2469915.9974131775;22.309115;113.9008704;;intermediate;
;213;798809.0329691549;2469930.036956242;22.309252;113.900296;;intermediate;
;214;798595.3363139306;2469926.527067249;22.3092574;113.8982232;;intermediate;
;215;798615.0009947714;2469927.1599191925;22.3092597;113.898414;;intermediate;
;218;798463.265179707;2469932.7119476227;22.3093361;113.8969437;;intermediate;
;219;798809.0650145134;2469940.16769445;22.3093434;113.9002982;;intermediate;
;222;798463.9438681167;2469949.9926912184;22.3094919;113.8969535;;intermediate;
;223;798558.0951014035;2469956.6671915078;22.3095358;113.8978677;;intermediate;
;225;798830.7800799556;2470007.3843106483;22.3099461;113.9005213;;intermediate;
;226;798432.1917540939;2470019.739225294;22.3101267;113.8966586;;intermediate;
;227;798533.5817676244;2470022.6735421447;22.3101356;113.8976423;;intermediate;
;235;798883.6454508731;2470060.348620813;22.3104148;113.9010438;;intermediate;
;237;798519.6861599789;2470062.6166013908;22.3104984;113.897515;;intermediate;
;238;798889.9879538895;2470073.205344655;22.3105297;113.9011077;;intermediate;
;244;799295.5801411266;2470122.3766844836;22.3109029;113.9050498;;intermediate;
;245;798556.0535564945;2470109.0560581563;22.3109111;113.8978763;07L/25R;runway;
;247;799291.8537906166;2470132.191229438;22.3109921;113.9050155;;intermediate;
;248;798593.4862141355;2470120.4486502283;22.3110074;113.8982414;;intermediate;
;249;799285.4037567474;2470142.064137074;22.3110823;113.9049548;;intermediate;
;250;798738.4708337232;2470132.3242197107;22.3110894;113.8996495;;intermediate;
;251;798615.6412974268;2470131.536590858;22.3111036;113.8984583;07L/25R;runway;
;255;798951.2823764954;2470144.719310979;22.3111643;113.9017154;;intermediate;
;257;799284.8974648216;2470153.8913829103;22.3111891;113.9049521;;intermediate;
;259;798727.6308229729;2470145.8036266845;22.3112129;113.8995469;;intermediate;
;261;799235.1722587668;2470156.424769025;22.3112206;113.9044704;;intermediate;
;268;799265.6627921234;2470167.8848414333;22.3113187;113.9047682;;intermediate;
;270;799270.500972705;2470170.482875914;22.3113413;113.9048156;;intermediate;
;273;799306.9570025201;2470179.5531233307;22.3114168;113.9051708;;intermediate;
;275;799288.0674455164;2470182.5917853215;22.3114475;113.9049882;;intermediate;
;277;799317.89582381;2470187.2007971066;22.3114839;113.9052783;;intermediate;
;278;799291.655762904;2470189.5769156334;22.3115099;113.9050243;;intermediate;
;282;799737.448522195;2470284.489062483;22.3122887;113.9093648;;intermediate;
;283;799733.6701439763;2470294.3136155815;22.312378;113.90933;;intermediate;
;284;799392.1089394973;2470307.9873835165;22.3125608;113.9060205;;intermediate;
;285;800019.7634173457;2470339.2489474635;22.3127336;113.9121126;;intermediate;
;286;799734.2068591497;2470352.0129545024;22.3128985;113.909346;;intermediate;
;287;799429.332038061;2470353.2155566053;22.3129624;113.9063899;;intermediate;
;288;799469.7718731409;2470396.3335269755;22.3133444;113.9067901;;intermediate;
;289;799487.0345175271;2470412.9477872523;22.3134913;113.9069606;;intermediate;
;290;799985.0335222968;2470432.000232394;22.3135765;113.9117932;;intermediate;
;291;799537.995978584;2470453.764004339;22.3138507;113.9074624;;intermediate;
;292;799555.2412387909;2470465.3905110224;22.3139526;113.9076318;;intermediate;
;293;799573.9261183843;2470475.6261342387;22.3140417;113.9078149;;intermediate;
;294;799608.7336541228;2470493.6651122547;22.3141984;113.9081558;;intermediate;
;295;799883.5784758809;2470528.6612970247;22.3144663;113.9108275;;intermediate;
;296;800876.264335196;2470548.5897911396;22.3144729;113.9204572;;intermediate;
;297;799921.8957694424;2470567.328506986;22.3148085;113.9112063;;intermediate;
;298;799964.279424603;2470603.1483501247;22.3151243;113.911624;;intermediate;
;299;800681.9712598996;2470633.461998664;22.3152726;113.9185891;;intermediate;
;301;800012.5849991473;2470636.1567010675;22.3154137;113.9120986;;intermediate;
